Request,Response Time (s)
1,0.015095710754394531
2,0.0020093917846679688
3,0.0016126632690429688
4,8.336677074432373
5,9.79025912284851
6,0.0021097660064697266
7,0.003400087356567383
8,6.337474822998047
9,0.001984119415283203
10,0.0022668838500976562
