Request,Response Time (s)
1,0.0025832653045654297
2,0.0033261775970458984
3,3.909863233566284
4,4.730147838592529
5,0.0030367374420166016
6,5.893546104431152
7,7.305113792419434
8,11.841023921966553
9,0.002233743667602539
10,0.0018703937530517578
11,0.002692699432373047
12,0.0017852783203125
13,6.728468179702759
14,0.0021865367889404297
15,3.05796480178833
16,0.003251314163208008
17,3.1324450969696045
18,4.847082853317261
19,0.0033721923828125
20,4.726628065109253
21,0.0021800994873046875
22,14.87329363822937
23,0.0021791458129882812
